id,area,dynamic,sleak,gleak,gt_pf,gt_pw,gt_area,gt_t,arch0,arch1,arch2,arch3,arch4,arch5,arch6,arch7,arch8,arch9,arch10,arch11,arch12,arch13,arch14,arch15,arch16,arch17,arch18,arch19,arch20,arch21,arch22,arch23,arch24,arch25,arch26,arch27,arch28
61,0.409196,0.22407,0.0205504,0.000347248,0.947425,0.026484,1511497.522,10609.11999,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,1,1,1,1,0,1,0,1,0,0,0,0
62,0.409196,0.22407,0.0205504,0.000347248,0.923767,0.024126,1537925.534,11583.1793,0,0,0,0,2,0,0,2,0,0,2,2,2,2,2,0,0,1,1,1,1,0,1,0,1,0,0,0,0
63,0.409196,0.22407,0.0205504,0.000347248,0.937795,0.026484,1493103.548,10874.61606,0,0,0,0,1,0,0,1,0,0,1,1,1,1,3,0,0,1,1,1,1,0,1,0,1,0,0,0,0
64,0.356645,0.223943,0.019667,0.000340771,0.927418,0.026484,1483335.546,11114.91312,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1,1,1,1,0,1,0,1,0,0,0,0
65,0.356645,0.223943,0.019667,0.000340771,0.905301,0.022764,1509769.538,11629.36075,0,0,0,0,2,0,0,2,0,0,2,1,1,1,3,0,0,1,1,1,1,0,1,0,1,0,0,0,0
66,0.356645,0.223943,0.019667,0.000340771,0.903903,0.026484,1473853.484,10968.03911,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,0,0,1,1,1,1,0,1,0,1,0,0,0,0
67,0.314535,0.223861,0.0189094,0.000335374,0.976775,0.026484,1464089.53,10474.31281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,1,0,1,0,1,0,0,0,0
68,0.314535,0.223861,0.0189094,0.000335374,0.907282,0.026484,1490523.496,11408.56185,0,0,0,0,2,0,0,2,0,0,2,0,0,0,3,0,0,1,1,1,1,0,1,0,1,0,0,0,0
69,0.314535,0.223861,0.0189094,0.000335374,0.939122,0.026484,1525165.537,11459.56238,0,0,0,0,1,0,0,1,0,0,1,2,2,2,3,0,0,1,1,1,1,0,1,0,1,0,0,0,0
70,0.4092,0.22407,0.020551,0.000347255,0.924026,0.026484,1515401.545,10773.58266,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,0,0,1,1,1,1,0,1,0,1,0,0,0,0
71,0.4092,0.22407,0.020551,0.000347255,0.904492,0.026484,1541829.529,11655.41433,0,0,0,0,2,0,0,2,0,0,2,2,2,2,3,0,0,1,1,1,1,0,1,0,1,0,0,0,0
72,0.4092,0.22407,0.020551,0.000347255,0.932908,0.026484,1532323.519,10884.65642,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,2,3,1,1,1,1,0,1,0,1,0,0,0,0
73,0.356855,0.223944,0.0196967,0.000341107,0.964665,0.02246,1522555.529,11169.31768,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,1,1,1,1,0,1,0,1,0,0,0,0
74,0.356855,0.223944,0.0196967,0.000341107,0.951518,0.026484,1548987.521,11103.47776,0,0,0,0,2,0,0,2,0,0,2,1,1,1,1,2,3,1,1,1,1,0,1,0,1,0,0,0,0
75,0.356855,0.223944,0.0196967,0.000341107,0.943645,0.02246,1513071.507,10297.13373,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2,3,1,1,1,1,0,1,0,1,0,0,0,0
76,0.314745,0.223862,0.0189391,0.00033571,0.956191,0.026484,1503311.528,11232.98751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,1,1,0,1,0,1,0,0,0,0
77,0.314745,0.223862,0.0189391,0.00033571,0.93015,0.026484,1529743.55,10213.74462,0,0,0,0,2,0,0,2,0,0,2,0,0,0,1,2,3,1,1,1,1,0,1,0,1,0,0,0,0
78,0.314745,0.223862,0.0189391,0.00033571,0.924677,0.026484,1564383.512,10034.78372,0,0,0,0,1,0,0,1,0,0,1,2,2,2,1,2,3,1,1,1,1,0,1,0,1,0,0,0,0
79,0.409409,0.224071,0.0205807,0.000347591,0.945315,0.026484,1554619.499,10403.78661,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,3,1,1,1,1,0,1,0,1,0,0,0,0
80,0.409409,0.224071,0.0205807,0.000347591,0.948319,0.026484,1581051.529,11937.59691,0,0,0,0,2,0,0,2,0,0,2,2,2,2,1,2,3,1,1,1,1,0,1,0,1,0,0,0,0
81,0.409409,0.224071,0.0205807,0.000347591,0.949128,0.026484,1528419.522,10515.28032,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,2,3,1,1,1,1,0,1,0,1,0,0,0,0
82,0.356842,0.223944,0.0196959,0.000341076,0.945919,0.026484,1518651.531,10699.90729,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,3,1,1,1,1,0,1,0,1,0,0,0,0
83,0.356842,0.223944,0.0196959,0.000341076,0.913224,0.026484,1545083.523,10462.60408,0,0,0,0,2,0,0,2,0,0,2,1,1,1,0,2,3,1,1,1,1,0,1,0,1,0,0,0,0
84,0.356842,0.223944,0.0196959,0.000341076,0.912211,0.026484,1509167.514,10282.78427,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,3,1,1,1,1,0,1,0,1,0,0,0,0
85,0.314732,0.223862,0.0189383,0.000335679,0.923571,0.024514,1499407.501,11624.87348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,1,1,0,1,0,1,0,0,0,0
86,0.314732,0.223862,0.0189383,0.000335679,0.94336,0.02246,1525839.531,10583.18805,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,2,3,1,1,1,1,0,1,0,1,0,0,0,0
87,0.314732,0.223862,0.0189383,0.000335679,0.934569,0.026484,1560479.551,11934.90188,0,0,0,0,1,0,0,1,0,0,1,2,2,2,0,2,3,1,1,1,1,0,1,0,1,0,0,0,0
88,0.409396,0.224071,0.0205798,0.00034756,0.959896,0.025635,1550715.538,10777.12431,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,3,1,1,1,1,0,1,0,1,0,0,0,0
89,0.409396,0.224071,0.0205798,0.00034756,0.916426,0.026484,1577147.53,11121.32151,0,0,0,0,2,0,0,2,0,0,2,2,2,2,0,2,3,1,1,1,1,0,1,0,1,0,0,0,0
90,0.409396,0.224071,0.0205798,0.00034756,0.93057,0.025043,1536227.541,10137.75399,0,0,0,0,1,0,0,1,0,0,1,1,1,1,2,2,3,1,1,1,1,0,1,0,1,0,0,0,0
91,0.356858,0.223944,0.0196973,0.000341114,0.911086,0.023853,1526459.538,11209.66496,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,1,1,1,1,0,1,0,1,0,0,0,0
92,0.356858,0.223944,0.0196973,0.000341114,0.937957,0.026484,1552891.506,11003.39697,0,0,0,0,2,0,0,2,0,0,2,1,1,1,2,2,3,1,1,1,1,0,1,0,1,0,0,0,0
93,0.356858,0.223944,0.0196973,0.000341114,0.953231,0.026484,1516975.52,10424.84578,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,2,3,1,1,1,1,0,1,0,1,0,0,0,0
94,0.314748,0.223862,0.0189397,0.000335717,0.937326,0.026484,1507215.525,11659.21232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,1,1,1,0,1,0,1,0,0,0,0
95,0.314748,0.223862,0.0189397,0.000335717,0.961508,0.026484,1533647.55,11237.04556,0,0,0,0,2,0,0,2,0,0,2,0,0,0,2,2,3,1,1,1,1,0,1,0,1,0,0,0,0
